"scenario","stage","block","uid","value"
1,1,8,9,39.47139
1,1,9,9,39.47139
1,1,10,9,39.47139
1,1,11,9,39.47139
1,1,12,9,39.47139
1,1,13,9,38.810993
1,1,14,9,38.810993
1,1,15,9,39.47139
1,1,16,9,39.47139
1,1,17,9,39.47139
1,1,18,9,39.47139
1,1,19,9,45.297203
1,1,20,9,45.297203
1,1,21,9,379.90955
1,1,22,9,379.90955
1,1,23,9,45.297203
1,1,24,9,44.01884
1,1,1,10,31.598919
1,1,2,10,31.598919
1,1,3,10,31.598919
1,1,4,10,31.598919
1,1,5,10,31.598919
1,1,6,10,31.598919
1,1,7,10,39.565334
1,1,8,10,39.565334
1,1,9,10,39.565334
1,1,10,10,39.565334
1,1,11,10,39.565334
1,1,12,10,39.565334
1,1,13,10,39.022305
1,1,14,10,39.022305
1,1,15,10,39.565334
1,1,16,10,39.565334
1,1,17,10,39.565334
1,1,18,10,39.565334
1,1,19,10,45.513546
1,1,20,10,45.513546
1,1,21,10,375.85184
1,1,22,10,375.85184
1,1,23,10,45.513546
1,1,24,10,43.304615
1,1,1,11,31.439838
1,1,2,11,31.439838
1,1,3,11,31.439838
1,1,4,11,31.439838
1,1,5,11,31.439838
1,1,6,11,31.439838
1,1,7,11,39.77887
1,1,8,11,39.77887
1,1,9,11,39.77887
1,1,10,11,39.77887
1,1,11,11,39.77887
1,1,12,11,39.77887
1,1,13,11,39.502613
1,1,14,11,39.502613
1,1,15,11,39.77887
1,1,16,11,39.77887
1,1,17,11,39.77887
1,1,18,11,39.77887
1,1,19,11,46.005302
1,1,20,11,46.005302
1,1,21,11,366.62857
1,1,22,11,366.62857
1,1,23,11,46.005302
1,1,24,11,41.68117
1,1,1,12,31.30622
1,1,2,12,31.30622
1,1,3,12,31.30622
1,1,4,12,31.30622
1,1,5,12,31.30622
1,1,6,12,31.30622
1,1,7,12,39.95823
1,1,8,12,39.95823
1,1,9,12,39.95823
1,1,10,12,39.95823
1,1,11,12,39.95823
1,1,12,12,39.95823
1,1,13,12,39.906044
1,1,14,12,39.906044
1,1,15,12,39.95823
1,1,16,12,39.95823
1,1,17,12,39.95823
1,1,18,12,39.95823
1,1,19,12,46.41835
1,1,20,12,46.41835
1,1,21,12,358.88156
1,1,22,12,358.88156
1,1,23,12,46.41835
1,1,24,12,40.31757
1,1,1,13,31.330534
1,1,2,13,31.330534
1,1,3,13,31.330534
1,1,4,13,31.330534
1,1,5,13,31.330534
1,1,6,13,31.330534
1,1,7,13,39.92559
1,1,8,13,39.92559
1,1,9,13,39.92559
1,1,10,13,39.92559
1,1,11,13,39.92559
1,1,12,13,39.92559
1,1,13,13,39.83263
1,1,14,13,39.83263
1,1,15,13,39.92559
1,1,16,13,39.92559
1,1,17,13,39.92559
1,1,18,13,39.92559
1,1,19,13,46.34319
1,1,20,13,46.34319
1,1,21,13,360.2913
1,1,22,13,360.2913
1,1,23,13,46.34319
1,1,24,13,40.565704
1,1,1,14,31.52096
1,1,2,14,31.52096
1,1,3,14,31.52096
1,1,4,14,31.52096
1,1,5,14,31.52096
1,1,6,14,31.52096
1,1,7,14,39.66998
1,1,8,14,39.66998
1,1,9,14,39.66998
1,1,10,14,39.66998
1,1,11,14,39.66998
1,1,12,14,39.66998
1,1,13,14,39.25768
1,1,14,14,39.25768
1,1,15,14,39.66998
1,1,16,14,39.66998
1,1,17,14,39.66998
1,1,18,14,39.66998
1,1,19,14,45.75453
1,1,20,14,45.75453
1,1,21,14,371.33194
1,1,22,14,371.33194
1,1,23,14,45.75453
1,1,24,14,42.509045
